audiodesc,title,txtime,guidance,link,subtitles,date,series_info,wsprogrammeid,channel
,Great Canal Journeys,11AM,,/programmes/great-canal-journeys/4od#3670645,True,2014-3-30,Series 1 Episode 3,57990-003,More4
True,Jamie's 15-Minute Meals,12.05PM,,/programmes/jamies-15-minute-meals/4od#3476261,True,2014-3-30,Series 1 Episode 3,53083-009,More4
,The Taste USA,12.40PM,,/programmes/the-taste-usa/4od#3673353,True,2014-3-30,Series 1 Episode 3,57156-003,More4
,Shipping Wars,1.40PM,True,/programmes/shipping-wars/4od#3674135,True,2014-3-30,Series 2 Episode 1,58837-001,More4
,Shipping Wars,2.10PM,True,/programmes/shipping-wars/4od#3674121,True,2014-3-30,Series 2 Episode 2,58837-002,More4
,Four in a Bed,2.40PM,,/programmes/four-in-a-bed/4od#3663425,True,2014-3-30,Series 6 Episode 1,58165-001,More4
,Four in a Bed,3.10PM,,/programmes/four-in-a-bed/4od#3663434,True,2014-3-30,Series 6 Episode 2,58165-002,More4
,Four in a Bed,3.45PM,,/programmes/four-in-a-bed/4od#3663441,True,2014-3-30,Series 6 Episode 3,58165-003,More4
,Four in a Bed,4.15PM,,/programmes/four-in-a-bed/4od#3663455,True,2014-3-30,Series 6 Episode 4,58165-004,More4
,Four in a Bed,4.50PM,,/programmes/four-in-a-bed/4od#3663465,True,2014-3-30,Series 6 Episode 5,58165-005,More4
,Shipping Wars,8PM,True,/programmes/shipping-wars/4od#3674743,True,2014-3-30,Series 2 Episode 3,58837-003,More4
,Shipping Wars,8.30PM,,/programmes/shipping-wars/4od#3674735,True,2014-3-30,Series 2 Episode 4,58837-004,More4
,Embarrassing Bodies,11.05PM,True,/programmes/embarrassing-bodies/4od#3261728,True,2014-3-30,Series 4 Episode 1,50670-001,More4
True,Shameless USA,12.05AM,True,/programmes/shameless-usa/4od#3674587,True,2014-3-30,Series 3 Episode 12,58277-012,More4
True,Nashville,2.25AM,,/programmes/nashville/4od#3671530,True,2014-3-30,Series 2 Episode 8,57665-008,More4
True,Hollyoaks: Omnibus,10AM,,/programmes/hollyoaks-omnibus/4od#3673041,True,2014-3-30,Hollyoaks Omnibus,58720-013,E4
True,Revenge,12.35PM,,/programmes/revenge/4od#3671414,True,2014-3-30,Series 3 Episode 12,58117-012,E4
True,The Tomorrow People,5PM,True,/programmes/the-tomorrow-people/4od#3671471,True,2014-3-30,Series 1 Episode 12,58612-012,E4
,Brooklyn Nine-Nine,6PM,,/programmes/brooklyn-nine-nine/4od#3670281,True,2014-3-30,Series 1 Episode 11,58114-011,E4
,My Mad Fat Diary,11.20PM,True,/programmes/my-mad-fat-diary/4od#3657863,True,2014-3-30,Series 2 Episode 6,56407-006,E4
,8 Out of 10 Cats,10PM,True,/programmes/8-out-of-10-cats/4od#3472071,True,2014-3-30,Series 14 Episode 4,55248-004,4Music
,Peep Show,11.40PM,True,/programmes/peep-show/4od#2922345,True,2014-3-30,Series 3 Episode 5,39670-005,4Music
,Peep Show,12.10AM,True,/programmes/peep-show/4od#2922346,True,2014-3-30,Series 3 Episode 6,39670-006,4Music
audiodesc,title,txtime,guidance,link,subtitles,date,series_info,wsprogrammeid,channel
False,Garmin Arenacross,7AM,False,/programmes/garmin-arenacross/4od#3661921,True,2014-3-30,Series 1 Episode 3,59026-003,Channel 4
False,Triathlon & Endurance Events,7.30AM,False,/programmes/triathlon-endurance-events/4od#3672550,True,2014-3-30,Swisse Mark Webber Tasmania Challenge,59092-002,Channel 4
False,Sunday Brunch,9.30AM,False,/programmes/sunday-brunch/4od#3673303,False,2014-3-30,Series 3 Episode 5,58864-005,Channel 4
False,Secret Eaters,12.30PM,False,/programmes/secret-eaters/4od#3667502,True,2014-3-30,Series 3 Episode 2,57988-002,Channel 4
False,Deal or No Deal,4.30PM,False,/programmes/deal-or-no-deal/4od#3672813,False,2014-3-30,Deal or No Deal,55340-074,Channel 4
True,The Dambusters' Great Escape: Secret History,8PM,False,/programmes/the-dambusters-great-escape-secret-history/4od#3675766,True,2014-3-30,Series 1 Episode 1,57176-001,Channel 4
False,The Hotel,1.45AM,False,/programmes/the-hotel/4od#3488371,True,2014-3-30,Series 3 Episode 2,54665-002,Channel 4
False,SuperScrimpers,4AM,False,/programmes/superscrimpers/4od#3315078,True,2014-3-30,Series 2 Episode 5,52712-006,Channel 4
False,Hugh's 3 Good Things: Best Bites,4.55AM,False,/programmes/hughs-3-good-things-best-bites/4od#3673554,True,2014-3-30,Series 1 Episode 38,55726-038,Channel 4
True,Deal or No Deal,5.05AM,False,/programmes/deal-or-no-deal/4od#3670465,True,2014-3-30,Deal or No Deal,55340-070,Channel 4
False,Countdown,6AM,False,/programmes/countdown/4od#3670436,True,2014-3-30,Countdown,55244-056,Channel 4
False,SuperScrimpers,11AM,False,/programmes/superscrimpers/4od#3315087,False,2014-3-30,Series 2 Episode 3,52712-004,4seven
False,SuperScrimpers,12PM,False,/programmes/superscrimpers/4od#3315070,True,2014-3-30,Series 2 Episode 4,52712-005,4seven
False,Undercover Boss USA,1PM,False,/programmes/undercover-boss-usa/4od#3441315,True,2014-3-30,Series 3 Episode 13,53999-013,4seven
False,River Cottage,2PM,False,/programmes/river-cottage/4od#3364689,True,2014-3-30,Series 17 Episode 12,54479-012,4seven
True,Marvel's Agents of S.H.I.E.L.D.,7PM,True,/programmes/marvels-agents-of-shield/4od#3671559,True,2014-3-30,Series 1 Episode 13,58116-013,4seven
False,Secret Eaters,8PM,False,/programmes/secret-eaters/4od#3671925,True,2014-3-30,Series 3 Episode 3,57988-003,4seven
False,Mayday: The Passenger Who Landed a Plane,9PM,False,/programmes/mayday-the-passenger-who-landed-a-plane/4od#3674874,True,2014-3-30,Series 1 Episode 1,58435-001,4seven
True,Hostages,10PM,False,/programmes/hostages/4od#3674604,True,2014-3-30,Series 1 Episode 12,58611-012,4seven
True,One Born Every Minute,10.55PM,False,/programmes/one-born-every-minute/4od#3671929,True,2014-3-30,Series 5 Episode 5,57667-005,4seven
False,Gogglebox,11.55PM,True,/programmes/gogglebox/4od#3670617,True,2014-3-30,Series 3 Episode 4,58931-004,4seven
False,8 Out of 10 Cats Does Countdown,1AM,True,/programmes/8-out-of-10-cats-does-countdown/4od#3667081,True,2014-3-30,8 Out of 10 Cats Does Countdown,58571-002,4seven
True,The Dambusters' Great Escape: Secret History,1.55AM,False,/programmes/the-dambusters-great-escape-secret-history/4od#3675766,True,2014-3-30,Series 1 Episode 1,57176-001,4seven
True,The Missing,2.50AM,True,/programmes/the-missing/4od#3674064,True,2014-3-30,Series 1 Episode 1,56286-001,4seven
True,Food Prices: The Shocking Truth,3.45AM,False,/programmes/food-prices-the-shocking-truth/4od#3670969,True,2014-3-30,Series 1 Episode 2,56690-002,4seven
False,Grand Designs Australia,8.55AM,False,/programmes/grand-designs-australia/4od#3670667,True,2014-3-30,Series 3 Episode 5,58796-005,More4
False,Selling Houses with Amanda Lamb,10AM,False,/programmes/selling-houses-with-amanda-lamb/4od#3671442,True,2014-3-30,Series 1 Episode 6,57984-008,More4
False,Great Canal Journeys,11AM,False,/programmes/great-canal-journeys/4od#3670645,True,2014-3-30,Series 1 Episode 3,57990-003,More4
True,Jamie's 15-Minute Meals,12.05PM,False,/programmes/jamies-15-minute-meals/4od#3476261,True,2014-3-30,Series 1 Episode 3,53083-009,More4
False,The Taste USA,12.40PM,False,/programmes/the-taste-usa/4od#3673353,True,2014-3-30,Series 1 Episode 3,57156-003,More4
False,Shipping Wars,1.40PM,True,/programmes/shipping-wars/4od#3674135,True,2014-3-30,Series 2 Episode 1,58837-001,More4
False,Shipping Wars,2.10PM,True,/programmes/shipping-wars/4od#3674121,True,2014-3-30,Series 2 Episode 2,58837-002,More4
False,Four in a Bed,2.40PM,False,/programmes/four-in-a-bed/4od#3663425,True,2014-3-30,Series 6 Episode 1,58165-001,More4
False,Four in a Bed,3.10PM,False,/programmes/four-in-a-bed/4od#3663434,True,2014-3-30,Series 6 Episode 2,58165-002,More4
False,Four in a Bed,3.45PM,False,/programmes/four-in-a-bed/4od#3663441,True,2014-3-30,Series 6 Episode 3,58165-003,More4
False,Four in a Bed,4.15PM,False,/programmes/four-in-a-bed/4od#3663455,True,2014-3-30,Series 6 Episode 4,58165-004,More4
False,Four in a Bed,4.50PM,False,/programmes/four-in-a-bed/4od#3663465,True,2014-3-30,Series 6 Episode 5,58165-005,More4
False,Shipping Wars,8PM,True,/programmes/shipping-wars/4od#3674743,True,2014-3-30,Series 2 Episode 3,58837-003,More4
False,Shipping Wars,8.30PM,False,/programmes/shipping-wars/4od#3674735,True,2014-3-30,Series 2 Episode 4,58837-004,More4
False,Embarrassing Bodies,11.05PM,True,/programmes/embarrassing-bodies/4od#3261728,True,2014-3-30,Series 4 Episode 1,50670-001,More4
True,Shameless USA,12.05AM,True,/programmes/shameless-usa/4od#3674587,True,2014-3-30,Series 3 Episode 12,58277-012,More4
True,Nashville,2.25AM,False,/programmes/nashville/4od#3671530,True,2014-3-30,Series 2 Episode 8,57665-008,More4
True,Hollyoaks: Omnibus,10AM,False,/programmes/hollyoaks-omnibus/4od#3673041,True,2014-3-30,Hollyoaks Omnibus,58720-013,E4
True,Revenge,12.35PM,False,/programmes/revenge/4od#3671414,True,2014-3-30,Series 3 Episode 12,58117-012,E4
True,The Tomorrow People,5PM,True,/programmes/the-tomorrow-people/4od#3671471,True,2014-3-30,Series 1 Episode 12,58612-012,E4
False,Brooklyn Nine-Nine,6PM,False,/programmes/brooklyn-nine-nine/4od#3670281,True,2014-3-30,Series 1 Episode 11,58114-011,E4
False,My Mad Fat Diary,11.20PM,True,/programmes/my-mad-fat-diary/4od#3657863,True,2014-3-30,Series 2 Episode 6,56407-006,E4
False,8 Out of 10 Cats,10PM,True,/programmes/8-out-of-10-cats/4od#3472071,True,2014-3-30,Series 14 Episode 4,55248-004,4Music
False,Peep Show,11.40PM,True,/programmes/peep-show/4od#2922345,True,2014-3-30,Series 3 Episode 5,39670-005,4Music
False,Peep Show,12.10AM,True,/programmes/peep-show/4od#2922346,True,2014-3-30,Series 3 Episode 6,39670-006,4Music
